#EN          DATA        DATA-ERR    
#EV          B           B           
7.6096e+01  7.4858e+00  4.1888e-02  
7.6685e+01  7.4836e+00  4.1666e-02  
7.7281e+01  7.4223e+00  4.1466e-02  
7.7884e+01  7.4929e+00  4.1471e-02  
7.8494e+01  7.4603e+00  4.1323e-02  
7.9111e+01  7.5215e+00  4.1175e-02  
7.9736e+01  7.4900e+00  4.0860e-02  
8.0368e+01  7.4379e+00  4.0521e-02  
8.1008e+01  7.4126e+00  4.0347e-02  
8.1655e+01  7.4914e+00  4.0329e-02  
8.2310e+01  7.4130e+00  4.0046e-02  
8.2973e+01  7.4498e+00  4.0050e-02  
8.3644e+01  7.4403e+00  3.9835e-02  
8.4323e+01  7.4195e+00  3.9590e-02  
8.5010e+01  7.4361e+00  3.9521e-02  
8.5706e+01  7.4260e+00  3.9263e-02  
8.6410e+01  7.4072e+00  3.8933e-02  
8.7123e+01  7.3645e+00  3.8829e-02  
8.7846e+01  7.4157e+00  3.8769e-02  
8.8577e+01  7.3572e+00  3.8527e-02  
8.9317e+01  7.4148e+00  3.8488e-02  
9.0066e+01  7.4251e+00  3.8275e-02  
9.0825e+01  7.3734e+00  3.8054e-02  
9.1594e+01  7.3715e+00  3.7952e-02  
9.2372e+01  7.3881e+00  3.7819e-02  
9.3161e+01  7.3167e+00  3.7506e-02  
9.3959e+01  7.3879e+00  3.7604e-02  
9.4768e+01  7.3538e+00  3.7172e-02  
9.5587e+01  7.3233e+00  3.7130e-02  
9.6417e+01  7.3679e+00  3.7024e-02  
9.7258e+01  7.4206e+00  3.7042e-02  
9.8110e+01  7.3410e+00  3.6566e-02  
9.8973e+01  7.3633e+00  3.6629e-02  
9.9848e+01  7.3307e+00  3.6371e-02  
1.0073e+02  7.3823e+00  3.6344e-02  
1.0163e+02  7.4179e+00  3.6159e-02  
1.0254e+02  7.3844e+00  3.6130e-02  
1.0346e+02  7.3485e+00  3.5820e-02  
1.0440e+02  7.4240e+00  3.5799e-02  
1.0535e+02  7.3972e+00  3.5620e-02  
1.0631e+02  7.4054e+00  3.5531e-02  
1.0728e+02  7.3417e+00  3.5197e-02  
1.0827e+02  7.2907e+00  3.4977e-02  
1.0927e+02  7.3107e+00  3.4802e-02  
1.1028e+02  7.3167e+00  3.4628e-02  
1.1131e+02  7.2915e+00  3.4416e-02  
1.1236e+02  7.3167e+00  3.4328e-02  
1.1342e+02  7.2640e+00  3.4207e-02  
1.1449e+02  7.3458e+00  3.4280e-02  
1.1558e+02  7.3871e+00  3.4261e-02  
1.1668e+02  7.2535e+00  3.3698e-02  
1.1780e+02  7.2563e+00  3.3574e-02  
1.1894e+02  7.3202e+00  3.3577e-02  
1.2009e+02  7.2242e+00  3.3184e-02  
1.2126e+02  7.2257e+00  3.3164e-02  
1.2245e+02  7.3033e+00  3.3006e-02  
1.2365e+02  7.2369e+00  3.2793e-02  
1.2487e+02  7.2205e+00  3.2645e-02  
1.2611e+02  7.2834e+00  3.2638e-02  
1.2737e+02  7.1842e+00  3.2369e-02  
1.2865e+02  7.2331e+00  3.2214e-02  
1.2995e+02  7.2678e+00  3.2217e-02  
1.3127e+02  7.1705e+00  3.1847e-02  
1.3260e+02  7.1957e+00  3.1783e-02  
1.3396e+02  7.1618e+00  3.1505e-02  
1.3534e+02  7.2546e+00  3.1637e-02  
1.3674e+02  7.1938e+00  3.1421e-02  
1.3816e+02  7.2140e+00  3.1216e-02  
1.3961e+02  7.2675e+00  3.1253e-02  
1.4107e+02  7.2167e+00  3.0984e-02  
1.4256e+02  7.1747e+00  3.0809e-02  
1.4408e+02  7.1717e+00  3.0585e-02  
1.4561e+02  7.1319e+00  3.0370e-02  
